school,year,title,imageUrl,sourceUrl
"上海交通大学","2025","上海交通大学2025年硕士研究生招生考试复试基本分数线","https://t4.chei.com.cn/news/img/2293357814.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250313/2293357812.html"
"上海交通大学","2025","上海交通大学2025年硕士研究生招生考试复试基本分数线","https://t3.chei.com.cn/news/img/2293357815.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250313/2293357812.html"
"北京理工大学","2025","北京理工大学2025年硕士研究生招生考试复试基本分数线","https://t1.chei.com.cn/news/img/2293357805.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250313/2293357804.html"
"复旦大学","2025","复旦大学2025年硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t1.chei.com.cn/news/img/2293357799.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250313/2293357798.html"
"复旦大学","2025","复旦大学2025年硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t2.chei.com.cn/news/img/2293357800.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250313/2293357798.html"
"复旦大学","2025","复旦大学2025年硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t3.chei.com.cn/news/img/2293357801.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250313/2293357798.html"
"复旦大学","2025","复旦大学2025年硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t3.chei.com.cn/news/img/2293357802.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250313/2293357798.html"
"复旦大学","2025","复旦大学2025年硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t2.chei.com.cn/news/img/2293357803.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250313/2293357798.html"
"浙江大学","2025","浙江大学2025年硕士研究生招生考试复试分数线基本要求","https://t4.chei.com.cn/news/img/2293357791.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250313/2293357790.html"
"浙江大学","2025","浙江大学2025年硕士研究生招生考试复试分数线基本要求","https://t4.chei.com.cn/news/img/2293357792.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250313/2293357790.html"
"浙江大学","2025","浙江大学2025年硕士研究生招生考试复试分数线基本要求","https://t2.chei.com.cn/news/img/2293357793.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250313/2293357790.html"
"西安交通大学","2025","西安交通大学2025年硕士研究生招生复试基本分数线","https://t1.chei.com.cn/news/img/2293357774.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293357773.html"
"西安交通大学","2025","西安交通大学2025年硕士研究生招生复试基本分数线","https://t1.chei.com.cn/news/img/2293357775.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293357773.html"
"哈尔滨工业大学","2025","哈尔滨工业大学2025年硕士研究生招生考试复试基本线","https://t4.chei.com.cn/news/img/2293357771.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293357769.html"
"中国科学技术大学","2025","中国科学技术大学2025年硕士研究生招生考试复试基本分数线","https://t4.chei.com.cn/news/img/2293357759.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293357758.html"
"中国科学技术大学","2025","中国科学技术大学2025年硕士研究生招生考试复试基本分数线","https://t2.chei.com.cn/news/img/2293357760.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293357758.html"
"中国科学技术大学","2025","中国科学技术大学2025年硕士研究生招生考试复试基本分数线","https://t3.chei.com.cn/news/img/2293357761.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293357758.html"
"同济大学","2025","同济大学2025年全国硕士研究生招生考试进入复试的初试成绩基本要求","https://t3.chei.com.cn/news/img/2293356027.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293356026.html"
"同济大学","2025","同济大学2025年全国硕士研究生招生考试进入复试的初试成绩基本要求","https://t4.chei.com.cn/news/img/2293356028.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293356026.html"
"同济大学","2025","同济大学2025年全国硕士研究生招生考试进入复试的初试成绩基本要求","https://t2.chei.com.cn/news/img/2293356029.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293356026.html"
"北京师范大学","2025","北京师范大学2025年硕士研究生招生学校复试基本分数线","https://t4.chei.com.cn/news/img/2293356020.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293356019.html"
"北京师范大学","2025","北京师范大学2025年硕士研究生招生学校复试基本分数线","https://t1.chei.com.cn/news/img/2293356021.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293356019.html"
"北京师范大学","2025","北京师范大学2025年硕士研究生招生学校复试基本分数线","https://t2.chei.com.cn/news/img/2293356022.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293356019.html"
"北京师范大学","2025","北京师范大学2025年硕士研究生招生学校复试基本分数线","https://t3.chei.com.cn/news/img/2293356023.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293356019.html"
"北京师范大学","2025","北京师范大学2025年硕士研究生招生学校复试基本分数线","https://t2.chei.com.cn/news/img/2293356024.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293356019.html"
"北京师范大学","2025","北京师范大学2025年硕士研究生招生学校复试基本分数线","https://t2.chei.com.cn/news/img/2293356025.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293356019.html"
"北京大学","2025","北京大学2025年硕士研究生招生复试基本分数线","https://t4.chei.com.cn/news/img/2293356011.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293356009.html"
"北京大学","2025","北京大学2025年硕士研究生招生复试基本分数线","https://t1.chei.com.cn/news/img/2293356012.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293356009.html"
"北京大学","2025","北京大学2025年硕士研究生招生复试基本分数线","https://t4.chei.com.cn/news/img/2293356013.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293356009.html"
"清华大学","2025","清华大学2025年硕士研究生招生复试基本分数线","https://t3.chei.com.cn/news/img/2293356007.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293356006.html"
"北京航空航天大学","2025","北京航空航天大学2025年硕士研究生复试资格基本线","https://t1.chei.com.cn/news/img/2293355992.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250312/2293355991.html"
"吉林大学","2025","2025年吉林大学硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t4.chei.com.cn/news/img/2293357679.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250311/2293357676.html"
"吉林大学","2025","2025年吉林大学硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t4.chei.com.cn/news/img/2293357680.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250311/2293357676.html"
"吉林大学","2025","2025年吉林大学硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t3.chei.com.cn/news/img/2293357681.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250311/2293357676.html"
"吉林大学","2025","2025年吉林大学硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t4.chei.com.cn/news/img/2293357682.jpg","https://yz.chsi.com.cn/kyzx/fsfsx34/202503/20250311/2293357676.html"
